date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:33	2421/2421	---M--	200	added ('OK')	image/png	etag:%2257d50eaa-975%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/footer_logo.png	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/footer_logo.png	(from http://werkstatt.fuelthemes.net/)
10:50:33	53561/53561	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:32%20GMT	http://werkstatt.fuelthemes.net/portfolio/five-dime/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/portfolio/five-dime/index.html	(from http://werkstatt.fuelthemes.net/)
10:50:34	374/374	---M-Z	403	error ('Forbidden')	text/html	date:Thu,%2015%20Dec%202016%2005:20:34%20GMT	http://themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/masonry.jpg	C:/Users/komal/Desktop/Red%20Morphic/themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/masonry.1d.delayed	(from http://werkstatt.fuelthemes.net/)
10:50:35	57661/57661	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:34%20GMT	http://werkstatt.fuelthemes.net/portfolio/paloma-rincon/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/portfolio/paloma-rincon/index.html	(from http://werkstatt.fuelthemes.net/)
10:50:36	54263/54263	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:35%20GMT	http://werkstatt.fuelthemes.net/portfolio/broacay-planet/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/portfolio/broacay-planet/index.html	(from http://werkstatt.fuelthemes.net/)
10:50:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Dec%202016%2005:20:36%20GMT	http://werkstatt.fuelthemes.net/werkstatt-masonry	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/werkstatt-masonry	(from http://werkstatt.fuelthemes.net/)
10:50:36	375/375	---M-Z	403	error ('Forbidden')	text/html	date:Thu,%2015%20Dec%202016%2005:20:36%20GMT	http://themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/masonry2.jpg	C:/Users/komal/Desktop/Red%20Morphic/themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/masonry2.1f.delayed	(from http://werkstatt.fuelthemes.net/)
10:50:37	55419/55419	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:36%20GMT	http://werkstatt.fuelthemes.net/werkstatt-masonry/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/werkstatt-masonry/index.html	(from http://werkstatt.fuelthemes.net/)
10:50:37	379/379	---M-Z	403	error ('Forbidden')	text/html	date:Thu,%2015%20Dec%202016%2005:20:37%20GMT	http://themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/architecture.jpg	C:/Users/komal/Desktop/Red%20Morphic/themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/architecture.jpg	(from http://werkstatt.fuelthemes.net/)
10:50:38	380/380	---M-Z	403	error ('Forbidden')	text/html	date:Thu,%2015%20Dec%202016%2005:20:38%20GMT	http://themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/simple_agency.jpg	C:/Users/komal/Desktop/Red%20Morphic/themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/simple_agency.21.delayed	(from http://werkstatt.fuelthemes.net/)
10:50:39	56733/56733	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:38%20GMT	http://werkstatt.fuelthemes.net/werkstatt-architecture/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/werkstatt-architecture/index.html	(from http://werkstatt.fuelthemes.net/)
10:50:39	198427/198427	---M--	200	added ('OK')	image/jpeg	etag:%2257cdbaae-3071b%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-07.jpg	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-07.jpg	(from http://werkstatt.fuelthemes.net/)
10:50:39	52062/52062	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:38%20GMT	http://werkstatt.fuelthemes.net/werkstatt-agency-simple/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/werkstatt-agency-simple/index.html	(from http://werkstatt.fuelthemes.net/)
10:50:40	383/383	---M-Z	403	error ('Forbidden')	text/html	date:Thu,%2015%20Dec%202016%2005:20:40%20GMT	http://themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/simple-portfolio.jpg	C:/Users/komal/Desktop/Red%20Morphic/themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/simple-portfolio.22.delayed	(from http://werkstatt.fuelthemes.net/)
10:50:40	50036/50036	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:39%20GMT	http://werkstatt.fuelthemes.net/werkstatt-masonry/3-columns/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/werkstatt-masonry/3-columns/index.html	(from http://werkstatt.fuelthemes.net/)
10:50:40	371/371	---M-Z	403	error ('Forbidden')	text/html	date:Thu,%2015%20Dec%202016%2005:20:40%20GMT	http://themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/grid.jpg	C:/Users/komal/Desktop/Red%20Morphic/themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/grid.jpg	(from http://werkstatt.fuelthemes.net/)
10:50:41	373/373	---M-Z	403	error ('Forbidden')	text/html	date:Thu,%2015%20Dec%202016%2005:20:41%20GMT	http://themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/agency.jpg	C:/Users/komal/Desktop/Red%20Morphic/themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/agency.jpg	(from http://werkstatt.fuelthemes.net/)
10:50:41	374/374	---M-Z	403	error ('Forbidden')	text/html	date:Thu,%2015%20Dec%202016%2005:20:41%20GMT	http://themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/bg_grid.jpg	C:/Users/komal/Desktop/Red%20Morphic/themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/bg_grid.jpg	(from http://werkstatt.fuelthemes.net/)
10:50:42	375/375	---M-Z	403	error ('Forbidden')	text/html	date:Thu,%2015%20Dec%202016%2005:20:42%20GMT	http://themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/carousel.jpg	C:/Users/komal/Desktop/Red%20Morphic/themes.fuelthemes.net/werkstatt-demo/assets/img/demos/homepages/carousel.jpg	(from http://werkstatt.fuelthemes.net/)
10:50:42	52719/52719	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:41%20GMT	http://werkstatt.fuelthemes.net/werkstatt-agency/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/werkstatt-agency/index.html	(from http://werkstatt.fuelthemes.net/)
10:50:42	37009/37009	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:42%20GMT	http://werkstatt.fuelthemes.net/werkstatt-text-style/background-grid/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/werkstatt-text-style/background-grid/index.html	(from http://werkstatt.fuelthemes.net/)
